YearTerm,Subject,Number
2023-sp,BADM,520
2023-sp,BADM,543
2023-sp,BADM,544
2023-sp,BADM,544
2023-sp,BADM,544
2023-sp,BADM,550
2023-sp,BADM,550
2023-sp,BADM,550
2023-sp,BADM,554
2023-sp,BADM,555
2023-sp,BADM,558
2023-sp,BADM,561
2023-sp,BADM,567
2023-sp,BADM,567
2023-sp,BADM,572
2023-sp,BADM,572
2023-sp,BADM,573
2023-sp,BADM,576
2023-sp,BADM,583
2023-sp,BADM,584
2023-sp,BADM,589
2023-sp,BADM,589
2023-sp,BADM,589
2023-sp,BADM,590
2023-sp,BADM,590
2023-sp,BADM,590
2023-sp,BCOG,200
2023-sp,BDI,367
2023-sp,BDI,411
2023-sp,BDI,475
2023-sp,BDI,513
2023-sp,BIOC,446
2023-sp,BIOC,455
2023-sp,BIOE,120
2023-sp,BIOE,202
2023-sp,BIOE,205
2023-sp,BIOE,210
2023-sp,BIOE,310
2023-sp,BIOE,414
2023-sp,BIOE,420
2023-sp,BIOE,435
2023-sp,BIOE,436
2023-sp,BIOE,479
2023-sp,BIOE,487
2023-sp,BIOE,498
2023-sp,BIOE,598
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,250
2023-sp,BTW,261
2023-sp,BTW,285
2023-sp,BUS,199
2023-sp,BUS,201
2023-sp,BUS,201
2023-sp,BUS,201
2023-sp,BUS,201
2023-sp,BUS,201
2023-sp,BUS,201
2023-sp,BUS,301
2023-sp,BUS,301
2023-sp,BUS,301
2023-sp,BUS,301
2023-sp,BUS,301
2023-sp,BUS,301
2023-sp,BUS,401
2023-sp,BUS,401
2023-sp,CEE,201
2023-sp,CEE,202
2023-sp,CEE,300
2023-sp,CEE,310
2023-sp,CEE,330
2023-sp,CEE,350
